Release point #, Memory Utilization, # of blocks searched before releasing, Counts made before release, Memory request size of release
Release #437, 0.3306, 0.0, 0, 8431
Release #438, 0.3985, 0.0, 0, 7493
Release #439, 0.973, 0.0, 0, 2682
Release #440, 0.7547, 2.0, 2, 7886
Release #441, 0.6146, 0.0, 0, 5135
Release #442, 0.7956, 0.0, 0, 5031
Release #443, 0.184, 2.0, 2, 3720
Release #444, 0.6127, 0.0, 0, 8975
Release #445, 0.9656, 0.0, 0, 7734
Release #446, 0.7055, 0.0, 0, 5857
Release #447, 0.7929, 0.0, 0, 5014
Release #448, 0.5059, 0.0, 0, 7181
Release #449, 0.865, 0.0, 0, 7514
Release #450, 0.9463, 0.0, 0, 9854
Release #451, 0.5179, 2.0, 2, 9745
Release #452, 0.7773, 0.0, 0, 8483
Release #453, 0.6115, 0.0, 0, 9204
Release #454, 0.5978, 0.0, 0, 5976
Release #455, 0.9665, 0.0, 0, 1906
Release #456, 0.7567, 2.0, 2, 8169
Release #457, 0.8179, 0.0, 0, 6321
Release #458, 0.9587, 0.0, 0, 8656
Release #459, 0.5559, 0.0, 0, 8033
Release #460, 0.9269, 0.0, 0, 2817
Release #461, 0.9558, 0.0, 0, 9860
Release #462, 0.8177, 0.0, 0, 6581
Release #463, 0.8421, 0.0, 0, 8463
Release #464, 0.9026, 0.0, 0, 3329
Release #465, 0.323, 2.0, 2, 3693
Release #466, 0.5903, 0.0, 0, 8312
Release #467, 0.7221, 0.0, 0, 7672
Release #468, 0.6453, 0.0, 0, 4432
Release #469, 0.9228, 0.0, 0, 4811
Release #470, 0.3152, 2.0, 2, 7601
Release #471, 0.1819, 0.0, 0, 8711
Release #472, 0.8475, 0.0, 0, 3199
Release #473, 0.4752, 2.0, 2, 6394
Release #474, 0.5777, 0.0, 0, 6077
Release #475, 0.657, 0.0, 0, 4283
Release #476, 0.9462, 0.0, 0, 6387
Release #477, 0.9025, 0.0, 0, 8283
Release #478, 0.9688, 0.0, 0, 4627
Release #479, 0.6116, 2.0, 2, 7814
Release #480, 0.6951, 0.0, 0, 5407
Release #481, 0.6245, 0.0, 0, 9938
Release #482, 0.6351, 0.0, 0, 5305
Release #483, 0.4451, 0.0, 0, 6469
Release #484, 0.9133, 0.0, 0, 9314
Release #485, 0.0286, 2.0, 2, 4604
Release #486, 0.7627, 0.0, 0, 5429
Release #487, 0.1451, 2.0, 2, 5291
